feature,importance
age,965
hours.per.week,459
capital.gain,384
work_rate,327
workclass_Federal-gov,325
capital.loss,247
workclass_Local-gov,217
education.num,166
gain_loss_ratio,161
marital.status_Never-married,135
age_bin_senior,124
workclass_Self-emp-not-inc,97
workclass_Without-pay,95
age_bin_mid,89
workclass_Never-worked,69
relationship_Own-child,66
education_10th,64
race_Asian-Pac-Islander,63
workclass_State-gov,61
workclass_Private,60
marital.status_Widowed,52
relationship_Wife,51
marital.status_Married-AF-spouse,44
relationship_Not-in-family,39
relationship_Unmarried,36
education_Preschool,33
marital.status_Divorced,33
marital.status_Married-civ-spouse,31
relationship_Other-relative,31
education_HS-grad,30
education_Bachelors,29
education_Prof-school,26
race_White,26
relationship_Husband,24
education_12th,21
race_Amer-Indian-Eskimo,21
race_Black,18
age_bin_young,18
education_1st-4th,16
race_Other,12
occupation,11
native.country,11
education_Assoc-acdm,10
marital.status_Separated,10
education_Masters,9
education_5th-6th,8
sex_Male,7
marital.status_Married-spouse-absent,6
education_9th,5
education_Doctorate,3
education_7th-8th,2
education_Assoc-voc,1
has_cap_gain,0
has_cap_loss,0
workclass_Self-emp-inc,0
education_11th,0
education_Some-college,0
